workload,rep,seed,patient_id,arrival_time,reg_arrival,reg_service_start,reg_service_end,doc_arrival,doc_service_start,doc_service_end,lab_arrival,lab_service_start,lab_service_end,phar_arrival,phar_service_start,phar_service_end,exit_time
demo,1,43,1033,200.06349599641413,200.06349599641413,200.06349599641413,200.14476710427348,200.14476710427348,200.14476710427348,200.20084099940087,,,,200.20084099940087,200.20084099940087,200.20224114269527,200.20224114269527
demo,1,43,1034,200.08862000955048,200.08862000955048,200.08862000955048,200.29143894796348,200.29143894796348,200.29143894796348,200.66248113878908,,,,200.66248113878908,200.66248113878908,200.79635754106175,200.79635754106175
demo,1,43,1035,200.1256440284822,200.1256440284822,200.1256440284822,200.39797084968126,200.39797084968126,200.39797084968126,200.73569854487644,200.73569854487644,200.73569854487644,200.77597049681737,200.77597049681737,200.79635754106175,200.82145205455765,200.82145205455765
demo,1,43,1036,200.28932376279312,200.28932376279312,200.28932376279312,200.52028933013344,200.52028933013344,200.52028933013344,200.83974083817074,,,,200.83974083817074,201.0103342229598,201.12537974657525,201.12537974657525
demo,1,43,1037,200.35030818197012,200.35030818197012,200.35030818197012,200.3563482973638,200.3563482973638,200.3563482973638,201.1439386123779,,,,201.1439386123779,201.39236497878673,201.42090648329747,201.42090648329747
demo,1,43,1038,200.40237892202774,200.40237892202774,200.40237892202774,200.63125058731677,200.63125058731677,200.6749751512446,200.75226848485627,,,,200.75226848485627,200.76877910012664,201.39236497878673,201.39236497878673
demo,1,43,1039,200.4589171173359,200.4589171173359,200.4589171173359,200.52671515945732,200.52671515945732,200.52671515945732,200.6749751512446,,,,200.6749751512446,200.6749751512446,200.76877910012664,200.76877910012664
demo,1,43,1040,200.58468311671217,200.58468311671217,200.58468311671217,200.6675402078474,200.6675402078474,200.73569854487644,201.4920679834261,,,,201.4920679834261,201.4920679834261,201.89793879457986,201.89793879457986
demo,1,43,1041,200.6061189828226,200.6061189828226,200.6061189828226,200.6132911311613,200.6132911311613,200.66248113878908,200.78871899235588,,,,200.78871899235588,200.82145205455765,201.0103342229598,201.0103342229598
demo,1,43,1042,200.89838360021892,200.89838360021892,200.89838360021892,200.9328095409938,200.9328095409938,200.9328095409938,201.0856706586797,,,,201.0856706586797,201.12537974657525,201.27139369618496,201.27139369618496
demo,1,43,1043,200.90847597292554,200.90847597292554,200.90847597292554,200.97917544529645,200.97917544529645,200.97917544529645,201.180400359355,,,,201.180400359355,201.42090648329747,201.5427313438566,201.5427313438566
demo,1,43,1044,201.04820270581158,201.04820270581158,201.04820270581158,201.10229570799774,201.10229570799774,201.10229570799774,201.10809525255948,,,,201.10809525255948,201.27139369618496,201.46082654911433,201.46082654911433
demo,1,43,1045,201.32514179266963,201.32514179266963,201.32514179266963,201.36930888125798,201.36930888125798,201.36930888125798,201.52398083863957,,,,201.52398083863957,201.5427313438566,202.24329127219912,202.24329127219912
demo,1,43,1046,201.3858465777053,201.3858465777053,201.3858465777053,201.51362137182574,201.51362137182574,201.51362137182574,201.59375356302033,,,,201.59375356302033,201.89793879457986,202.01046376208922,202.01046376208922
demo,1,43,1047,201.6276288428678,201.6276288428678,201.6276288428678,201.8721095336653,201.8721095336653,201.8721095336653,202.33620091215238,202.33620091215238,202.33620091215238,202.44600373323328,202.44600373323328,202.44600373323328,202.4980708533885,202.4980708533885
demo,1,43,1048,201.79136523303077,201.79136523303077,201.79136523303077,201.8116207787904,201.8116207787904,201.8116207787904,202.00360765749684,,,,202.00360765749684,202.01046376208922,202.1296286956277,202.1296286956277
demo,1,43,1049,201.8950494454593,201.8950494454593,201.8950494454593,201.92568367083774,201.92568367083774,201.92568367083774,202.27986996468553,,,,202.27986996468553,202.27986996468553,202.4439784270585,202.4439784270585
demo,1,43,1050,201.9535158876497,201.9535158876497,201.9535158876497,202.0118361217528,202.0118361217528,202.0118361217528,202.49714780754695,,,,202.49714780754695,202.4980708533885,202.6663585186013,202.6663585186013
demo,1,43,1051,201.9958425366775,201.9958425366775,201.9958425366775,202.17457102436225,202.17457102436225,202.17457102436225,202.28048497888503,,,,202.28048497888503,202.28048497888503,202.9954912123168,202.9954912123168
demo,1,43,1052,202.0402233914293,202.0402233914293,202.0402233914293,202.4061969238788,202.4061969238788,202.4061969238788,202.68918163253196,,,,202.68918163253196,202.78208139625778,202.8244199458423,202.8244199458423
demo,1,43,1053,202.1050709248268,202.1050709248268,202.1050709248268,202.26731480962755,202.26731480962755,202.26731480962755,202.54687073308898,202.54687073308898,202.54687073308898,202.6608882900484,202.6608882900484,202.67047951924755,202.78208139625778,202.78208139625778
demo,1,43,1054,202.177833042655,202.177833042655,202.177833042655,202.33291654568777,202.33291654568777,202.33291654568777,202.5683536698623,,,,202.5683536698623,202.6663585186013,202.67047951924755,202.67047951924755
demo,1,43,1055,202.43629043359394,202.43629043359394,202.43629043359394,202.60665458149407,202.60665458149407,202.60665458149407,203.3131292704695,,,,203.3131292704695,203.3131292704695,203.36661036705118,203.36661036705118
demo,1,43,1056,202.60004042741434,202.60004042741434,202.60004042741434,202.71252832680258,202.71252832680258,202.71252832680258,202.78499947859598,,,,202.78499947859598,202.8244199458423,202.8342451024321,202.8342451024321
demo,1,43,1057,203.0028056895007,203.0028056895007,203.0028056895007,203.01597131860294,203.01597131860294,203.01597131860294,203.34536374540312,,,,203.34536374540312,203.34536374540312,203.3923592520563,203.3923592520563
demo,1,43,1058,203.41627721528164,203.41627721528164,203.41627721528164,203.4346939057114,203.4346939057114,203.4346939057114,203.49647610224196,,,,203.49647610224196,203.49647610224196,203.7026580498338,203.7026580498338
demo,1,43,1059,203.8299697362249,203.8299697362249,203.8299697362249,203.87437315891503,203.87437315891503,203.87437315891503,204.02162382008106,,,,204.02162382008106,204.02162382008106,204.49538843605953,204.49538843605953
demo,1,43,1060,204.02088721927345,204.02088721927345,204.02088721927345,204.02736913114575,204.02736913114575,204.02736913114575,204.06783751068164,,,,204.06783751068164,204.06783751068164,204.28605465431397,204.28605465431397
demo,1,43,1061,204.05000321142157,204.05000321142157,204.05000321142157,204.35423494670874,204.35423494670874,204.35423494670874,204.43603387787698,,,,204.43603387787698,204.49538843605953,204.49716248207108,204.49716248207108
demo,1,43,1062,204.07206715895265,204.07206715895265,204.07206715895265,204.22037429242724,204.22037429242724,204.22037429242724,204.73097370712736,,,,204.73097370712736,204.73097370712736,204.7975372795538,204.7975372795538
demo,1,43,1063,204.40247289594632,204.40247289594632,204.40247289594632,204.4104664061776,204.4104664061776,204.4104664061776,204.41081606691475,,,,204.41081606691475,204.41081606691475,204.7283781080684,204.7283781080684
