workload,rep,seed,patient_id,arrival_time,reg_arrival,reg_service_start,reg_service_end,doc_arrival,doc_service_start,doc_service_end,lab_arrival,lab_service_start,lab_service_end,phar_arrival,phar_service_start,phar_service_end,exit_time
demo,2,44,989,200.23929460678875,200.23929460678875,200.23929460678875,200.3516834160964,200.3516834160964,200.3516834160964,200.7920226494235,,,,200.7920226494235,201.05166244787875,201.33042563435842,201.33042563435842
demo,2,44,990,200.24824637542096,200.24824637542096,200.24824637542096,200.36974443395576,200.36974443395576,200.36974443395576,200.39598137543078,,,,200.39598137543078,200.39598137543078,200.8273117707951,200.8273117707951
demo,2,44,991,200.44062397905233,200.44062397905233,200.44062397905233,200.47317948843195,200.47317948843195,200.47317948843195,200.51734830216338,,,,200.51734830216338,200.8273117707951,200.83036468184088,200.83036468184088
demo,2,44,992,200.49824932763914,200.49824932763914,200.49824932763914,200.52473927659187,200.52473927659187,200.52473927659187,200.70045053447805,,,,200.70045053447805,200.83036468184088,201.13641602796616,201.13641602796616
demo,2,44,993,200.68313054090828,200.68313054090828,200.68313054090828,200.74152757502188,200.74152757502188,200.74152757502188,200.7438352441742,,,,200.7438352441742,200.85967180771212,201.05166244787875,201.05166244787875
demo,2,44,994,200.78156608128103,200.78156608128103,200.78156608128103,200.92640470241022,200.92640470241022,200.92640470241022,201.85857702000288,,,,201.85857702000288,201.85857702000288,202.10935418571742,202.10935418571742
demo,2,44,995,200.9241842564938,200.9241842564938,200.9241842564938,200.95217599638784,200.95217599638784,200.95217599638784,201.03153468892424,201.03153468892424,201.03153468892424,201.2475651814904,201.2475651814904,201.2475651814904,201.271810462073,201.271810462073
demo,2,44,996,201.26744757939477,201.26744757939477,201.26744757939477,201.3123055016704,201.3123055016704,201.3123055016704,201.4214715697418,,,,201.4214715697418,201.4214715697418,201.51462874525097,201.51462874525097
demo,2,44,997,201.3109274733163,201.3109274733163,201.3109274733163,201.50275270538432,201.50275270538432,201.50275270538432,201.84330180482755,,,,201.84330180482755,201.84330180482755,202.03676214880016,202.03676214880016
demo,2,44,998,201.8455405384844,201.8455405384844,201.8455405384844,202.06355569229316,202.06355569229316,202.06355569229316,202.32147936235125,202.32147936235125,202.32147936235125,202.4116492341845,202.4116492341845,202.4116492341845,202.92813572626324,202.92813572626324
demo,2,44,999,202.45683557794936,202.45683557794936,202.45683557794936,202.4615145320295,202.4615145320295,202.4615145320295,202.5883653064021,,,,202.5883653064021,202.5883653064021,202.74905348597187,202.74905348597187
demo,2,44,1000,202.83326092362466,202.83326092362466,202.83326092362466,203.5602489766723,203.5602489766723,203.5602489766723,203.68693355348182,,,,203.68693355348182,203.68693355348182,203.69689424476604,203.69689424476604
demo,2,44,1001,203.21167473287773,203.21167473287773,203.21167473287773,203.2794439740032,203.2794439740032,203.2794439740032,203.3324276417582,,,,203.3324276417582,203.3324276417582,203.45760183759575,203.45760183759575
demo,2,44,1002,203.2816155876398,203.2816155876398,203.2816155876398,203.30287956004216,203.30287956004216,203.30287956004216,203.30893000994357,,,,203.30893000994357,203.30893000994357,203.97927982409354,203.97927982409354
demo,2,44,1003,203.6230701945039,203.6230701945039,203.6230701945039,203.63976445682778,203.63976445682778,203.63976445682778,203.67890036911197,,,,203.67890036911197,203.67890036911197,203.68497666596787,203.68497666596787
demo,2,44,1004,203.64050791377312,203.64050791377312,203.64050791377312,203.95180367906576,203.95180367906576,203.95180367906576,203.9814257711315,,,,203.9814257711315,203.9814257711315,204.01957989982097,204.01957989982097
demo,2,44,1005,203.76335535862526,203.76335535862526,203.76335535862526,203.84019664828318,203.84019664828318,203.84019664828318,203.9134209187702,,,,203.9134209187702,203.9134209187702,203.93828091081133,203.93828091081133
demo,2,44,1006,203.84992353684677,203.84992353684677,203.84992353684677,203.92902897850857,203.92902897850857,203.92902897850857,204.23061439623302,,,,204.23061439623302,204.23061439623302,204.31819452150702,204.31819452150702
demo,2,44,1007,204.25543321828653,204.25543321828653,204.25543321828653,204.3063757521685,204.3063757521685,204.3063757521685,204.67186696754834,204.67186696754834,204.67186696754834,204.76091760966779,204.76091760966779,204.76091760966779,204.85877175632075,204.85877175632075
demo,2,44,1008,204.29564614029385,204.29564614029385,204.29564614029385,204.38918565330403,204.38918565330403,204.38918565330403,204.4200744919268,,,,204.4200744919268,204.4200744919268,205.05837191563066,205.05837191563066
demo,2,44,1009,204.58585929517272,204.58585929517272,204.58585929517272,204.76469084977103,204.76469084977103,204.76469084977103,204.77976959894588,,,,204.77976959894588,204.85877175632075,204.92709703437265,204.92709703437265
demo,2,44,1010,205.07393660502296,205.07393660502296,205.07393660502296,205.09423695696367,205.09423695696367,205.09423695696367,205.19477601986299,,,,205.19477601986299,205.19477601986299,205.28820674570505,205.28820674570505
demo,2,44,1011,205.115837920889,205.115837920889,205.115837920889,205.1701776923674,205.1701776923674,205.1701776923674,205.25710836141934,,,,205.25710836141934,205.25710836141934,205.355933362671,205.355933362671
demo,2,44,1012,205.13337780133546,205.13337780133546,205.13337780133546,205.30293955756818,205.30293955756818,205.30293955756818,205.43572642208937,205.43572642208937,205.43572642208937,205.65085566677487,205.65085566677487,205.65085566677487,205.7887952021341,205.7887952021341
demo,2,44,1013,205.42926404211929,205.42926404211929,205.42926404211929,205.63191413295195,205.63191413295195,205.63191413295195,205.92116876976027,,,,205.92116876976027,205.92116876976027,205.94819292326176,205.94819292326176
demo,2,44,1014,205.49773530049015,205.49773530049015,205.49773530049015,205.53103098670354,205.53103098670354,205.53103098670354,205.70929535237443,,,,205.70929535237443,205.70929535237443,205.70950821466795,205.70950821466795
demo,2,44,1015,205.71732607360534,205.71732607360534,205.71732607360534,206.004964864358,206.004964864358,206.004964864358,206.08775069781697,,,,206.08775069781697,206.08775069781697,206.32446476093062,206.32446476093062
demo,2,44,1016,205.88596914497197,205.88596914497197,205.88596914497197,206.00207737925066,206.00207737925066,206.00207737925066,206.28116695693268,,,,206.28116695693268,206.36334227632193,206.59898920558177,206.59898920558177
demo,2,44,1017,205.90394263501173,205.90394263501173,205.90394263501173,206.00260485347715,206.00260485347715,206.00260485347715,206.1076319522225,,,,206.1076319522225,206.1076319522225,206.22817577794245,206.22817577794245
demo,2,44,1018,205.9801768625304,205.9801768625304,206.00207737925066,206.16295422230806,206.16295422230806,206.16295422230806,206.53241370759665,,,,206.53241370759665,206.6777341045194,206.98803698824574,206.98803698824574
demo,2,44,1019,206.0871244181259,206.0871244181259,206.0871244181259,206.1864394813923,206.1864394813923,206.1864394813923,206.21688826363308,206.21688826363308,206.21688826363308,206.2177167349584,206.2177167349584,206.22817577794245,206.88340192944423,206.88340192944423
demo,2,44,1020,206.14532448667163,206.14532448667163,206.14532448667163,206.16355722312744,206.16355722312744,206.16355722312744,206.50872265704115,,,,206.50872265704115,206.65341937492994,206.6777341045194,206.6777341045194
demo,2,44,1021,206.22167288158434,206.22167288158434,206.22167288158434,206.2317510882474,206.2317510882474,206.2317510882474,206.25958486453206,,,,206.25958486453206,206.32446476093062,206.36334227632193,206.36334227632193
demo,2,44,1022,206.24705034330103,206.24705034330103,206.24705034330103,206.38317266988258,206.38317266988258,206.38317266988258,206.4343514184723,,,,206.4343514184723,206.59898920558177,206.65341937492994,206.65341937492994
demo,2,44,1023,206.42563723080795,206.42563723080795,206.42563723080795,206.52458316435016,206.52458316435016,206.52458316435016,206.73059154097533,,,,206.73059154097533,206.88340192944423,207.33825634547944,207.33825634547944
demo,2,44,1024,206.7489186665849,206.7489186665849,206.7489186665849,207.42760473745344,207.42760473745344,207.42760473745344,208.02585994463914,208.02585994463914,208.02585994463914,208.10202811770145,208.10202811770145,208.13766872480053,208.62167167583354,208.62167167583354
demo,2,44,1025,207.07999942426002,207.07999942426002,207.07999942426002,207.41394240594332,207.41394240594332,207.41394240594332,207.82240647472884,,,,207.82240647472884,207.82240647472884,208.17473253078114,208.17473253078114
demo,2,44,1026,207.21960518961237,207.21960518961237,207.21960518961237,207.3384320620516,207.3384320620516,207.3384320620516,207.42569504454627,,,,207.42569504454627,207.42569504454627,207.71625410791742,207.71625410791742
demo,2,44,1027,207.3891972913693,207.3891972913693,207.3891972913693,207.40757967264506,207.40757967264506,207.40757967264506,207.41091467783139,,,,207.41091467783139,207.41091467783139,207.7409759283517,207.7409759283517
demo,2,44,1028,207.42436594788418,207.42436594788418,207.42436594788418,207.54838732966232,207.54838732966232,207.54838732966232,207.84854326947269,,,,207.84854326947269,207.85061946088348,208.13766872480053,208.13766872480053
demo,2,44,1029,207.60962173299725,207.60962173299725,207.60962173299725,207.7107633424093,207.7107633424093,207.7107633424093,207.83967582201154,,,,207.83967582201154,207.83967582201154,207.85061946088348,207.85061946088348
demo,2,44,1030,207.65099352559432,207.65099352559432,207.65099352559432,207.73494025596574,207.73494025596574,207.73494025596574,208.2017891249609,,,,208.2017891249609,208.2095828905149,208.2607398634464,208.2607398634464
demo,2,44,1031,207.9922873596686,207.9922873596686,207.9922873596686,208.0603895542427,208.0603895542427,208.0603895542427,208.15689300754767,,,,208.15689300754767,208.17473253078114,208.2095828905149,208.2095828905149
