workload,rep,seed,node_name,servers,mu,lambda_effective,mean_waiting_time,mean_service_time,mean_response_time,avg_queue_length_timeavg,avg_in_service_timeavg,utilization,num_completed_jobs
demo,2,44,registration,3,8.0,,0.0012612867355168058,0.12630438740340608,0.1275656741389229,0.006950706647570564,0.34683578607409005,0.11561192869136334,10788
demo,2,44,doctor,5,5.0,,0.00011837628937628637,0.2018493161729279,0.2019676924623042,0.0006308752714678541,0.6869493307944909,0.1373898661588982,10788
demo,2,44,lab,4,10.0,,0.0,0.09878224394466086,0.09878224394466086,0.0,0.014001340290795557,0.0035003350726988893,2152
demo,2,44,pharmacy,2,6.0,,0.03559360281549923,0.1694426088503362,0.20503621166583547,0.18787961019490707,0.5196634960180289,0.25983174800901443,10788
